 Year,Month,Rainfall,Temperature
1901,1,95.4163,7.87119
1901,2,94.8555,6.38664
1901,3,167.218,9.50226
1901,4,56.5306,13.221
1901,5,41.4389,15.69
1901,6,11.0804,19.9846
1901,7,5.27905,21.5648
1901,8,4.28003,22.1309
1901,9,99.6753,18.2912
1901,10,79.8795,13.7197
1901,11,71.7913,9.628
1901,12,100.226,6.79127
1902,1,14.0627,7.74629
1902,2,255.037,8.27247
1902,3,54.21,11.3267
1902,4,106.13,12.9913
1902,5,34.9859,14.4674
1902,6,47.3475,17.2854
1902,7,27.756,21.0961
1902,8,20.6344,20.9727
1902,9,27.6102,18.5705
1902,10,94.108,14.3384
1902,11,188.992,11.5976
1902,12,71.506,8.27052
1903,1,76.1415,7.73898
1903,2,29.007,9.47104
1903,3,52.3774,10.7472
1903,4,66.2197,13.4645
1903,5,129.129,14.1822
1903,6,70.538,17.8379
1903,7,24.1873,21.3277
1903,8,9.13214,22.1831
1903,9,80.7036,18.2429
1903,10,79.4192,15.3157
1903,11,28.6558,11.7745
1903,12,184.546,7.09289
1904,1,117.698,7.50159
1904,2,159.736,8.70459
1904,3,97.7319,9.08152
1904,4,30.1268,13.5753
1904,5,18.2799,16.7862
1904,6,29.586,19.0326
1904,7,3.49039,21.2494
1904,8,3.5419,21.7156
1904,9,56.504,17.99
1904,10,47.1944,16.625
1904,11,89.8058,11.0912
1904,12,102.642,9.80649
1905,1,56.2227,7.16069
1905,2,14.33,7.36112
1905,3,72.5927,11.3965
1905,4,72.5783,13.8598
1905,5,33.5868,15.3352
1905,6,63.3244,17.7318
1905,7,21.4833,21.6205
1905,8,8.91418,20.861
1905,9,37.9573,18.0073
1905,10,61.0524,14.232
1905,11,179.38,9.53544
1905,12,67.6661,8.22295
1906,1,62.1192,8.39325
1906,2,75.2602,7.34526
1906,3,61.7588,10.0363
1906,4,54.286,11.6137
1906,5,78.178,15.1217
1906,6,42.5824,19.7646
1906,7,2.41785,21.3836
1906,8,2.29448,22.6469
1906,9,66.0485,19.7265
1906,10,98.2728,15.4458
1906,11,123.724,10.8014
1906,12,27.3439,7.49109
1907,1,24.9924,6.90341
1907,2,41.7192,7.22161
1907,3,8.03938,11.3294
1907,4,95.1938,12.4412
1907,5,129.975,14.2282
1907,6,3.77229,18.8123
1907,7,14.1153,20.1993
1907,8,7.24201,22.1931
1907,9,105.062,20.1186
1907,10,213.858,13.4729
1907,11,166.258,10.908
1907,12,152.046,9.94584
1908,1,97.6888,8.50421
1908,2,11.5483,8.4937
1908,3,66.4155,8.94873
1908,4,55.4222,11.1387
1908,5,28.6392,16.8521
1908,6,59.1809,18.0554
1908,7,2.25452,21.1356
1908,8,9.59672,21.44
1908,9,24.3708,19.3291
1908,10,59.3452,16.2575
1908,11,139.515,12.3485
1908,12,97.6121,9.14749
1909,1,50.4845,7.02351
1909,2,24.2338,7.19527
1909,3,143.624,9.45008
1909,4,32.9734,13.9111
